"id","sex","bmonth","byear","agemon_1997","race","agemon_1998","agemon_1999","attend_2000","agemon_2000","attend_2001","agemon_2001","attend_2002","values_2002","obey_2002","decide_2002","todo_2002","pray_2002","agemon_2002","agemon_2003","attend_2003","agemon_2004","attend_2004","agemon_2005","relpref_2005","attend_2005","values_2005","obey_2005","decide_2005","todo_2005","pray_2005","agemon_2006","attend_2006","agemon_2007","attend_2007","agemon_2008","relpref_2008","attend_2008","values_2008","obey_2008","decide_2008","todo_2008","pray_2008","agemon_2009","attend_2009","agemon_2010","attend_2010","rvalues_2002","rvalues_2005","rvalues_2008","rtodo_2002","rtodo_2005","rtodo_2008","cat2000","cat2001","cat2002","cat2003","cat2004","cat2005","cat2006","cat2007","cat2008","cat2009","cat2010"
2556,2,4,1980,202,2,"223","238",6,248,6,259,6,"1","1","1","0","1",273,284,3,296,1,307,"13",6,"0","1","1","0","1",319,3,331,1,344,"13",1,"0","1","1","0","1",354,1,367,1,0,1,1,1,1,1,3,3,3,2,1,3,2,1,1,1,1
2557,2,7,1984,152,4,"172","185",6,196,6,208,6,"1","1","1","0","1",222,232,5,245,3,256,"13",2,"1","0","0","0","0",268,2,279,3,291,"13",3,"1","0","0","0","0",303,3,315,3,0,0,0,1,1,1,3,3,3,2,2,1,1,2,2,2,2
2558,1,1,1981,193,4,"214","229",1,242,2,251,1,"0","0","0","0","0",263,277,2,287,1,301,"27",1,"1","0","0","0","0",310,1,321,1,333,"25",1,"1","0","0","1","0",345,1,357,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2559,2,9,1983,161,4,"186","196",1,210,1,220,1,"1","0","1","0","0",234,247,1,254,1,269,"25",1,"0","0","1","1","0",278,1,290,1,302,"25",1,"D","D","1","0","0",314,1,325,1,0,1,NA,1,0,1,1,1,1,1,1,1,1,1,1,1,1
2561,2,4,1980,202,4,"224","237",1,248,1,259,1,"1","0","1","0","0",273,285,1,296,1,307,"4",1,"1","0","0","1","0",318,1,331,1,342,"4",1,"1","0","0","0","0",353,1,370,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
2562,1,8,1983,162,4,"184","196",1,209,1,220,1,"1","0","0","1","0",234,243,1,256,1,267,"13",1,"0","1","1","0","0",279,1,290,1,302,"26",1,"1","D","0","1","0",314,1,326,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
2563,1,11,1983,159,4,"180","196",7,205,6,217,7,"0","1","1","0","1",231,241,6,253,6,269,"4",5,"0","0","1","0","0",279,4,290,2,300,"4",6,"0","0","1","0","1",315,6,323,5,1,1,1,1,1,1,3,3,3,3,3,2,2,1,3,3,2
2564,1,7,1984,156,4,"173","184",5,198,3,210,3,"1","0","0","1","0",221,234,2,245,2,257,"1",2,"1","0","0","1","0",270,2,281,1,293,"1",2,"1","0","0","1","0",304,5,317,2,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,2,1
2565,2,9,1981,198,4,"208","219",6,233,5,243,2,"1","0","1","0","0",254,266,3,278,2,290,"1",2,"1","0","0","0","0",302,3,315,2,328,"1",3,"1","0","0","0","0",339,3,353,2,0,0,0,1,1,1,3,2,1,2,1,1,2,1,2,2,1
2566,1,6,1984,165,4,"175","186",6,200,6,211,6,"1","0","1","0","1",223,234,6,246,6,258,"1",4,"0","0","1","0","0",271,5,281,5,294,"1",6,"0","R","1","0","0",306,6,317,6,0,1,1,1,1,1,3,3,3,3,3,2,2,2,3,3,3
2567,2,2,1980,209,4,"229","240",6,251,5,265,4,"0","1","1","0","0",277,290,5,299,4,310,"4",3,"1","1","1","0","0",322,3,334,4,351,"4",4,"0","0","1","0","1",356,4,372,3,1,0,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2
2568,1,3,1980,208,4,"225","237",1,249,1,262,1,"1","0","0","1","0",273,284,1,296,1,308,"25",1,"1","0","0","1","0",320,1,332,1,344,"25",1,"0","0","0","1","0",355,1,368,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2569,1,8,1982,179,4,"196","207",1,220,1,233,1,"1","0","0","1","0",244,255,2,267,2,279,"4",1,"1","0","0","0","0",292,2,302,2,314,"4",2,"1","0","0","0","0",326,2,339,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2
2571,2,5,1984,156,4,"178","188",7,200,5,214,3,"0","0","1","0","1",222,238,3,247,6,260,"1",5,"0","0","1","0","1",272,5,282,3,294,"4",3,"1","0","1","0","1",306,3,318,4,1,1,0,1,1,1,3,2,2,2,3,2,2,2,2,2,2
2572,2,8,1982,179,4,"199","210",1,224,1,234,2,"1","1","1","0","0",245,257,2,269,1,287,"12",1,"1","D","1","0","0",292,1,303,2,316,"4",2,"1","D","1","0","0",327,2,339,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2573,1,11,1983,162,4,"180","192",1,205,2,218,1,"1","0","0","1","0",230,241,1,254,2,264,"26",2,"1","0","0","1","0",279,2,287,1,300,"4",3,"1","0","0","1","0",311,3,324,4,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2
2574,1,12,1981,183,4,"207","215",4,228,2,240,1,"1","0","0","1","0",252,264,1,275,1,287,"25",1,"1","0","0","0","0",299,1,310,1,324,"27",1,"R","R","0","R","0",334,1,350,5,0,0,NA,0,1,NA,2,1,1,1,1,1,1,1,1,1,2
2575,1,7,1981,187,4,"207","221",6,235,6,247,7,"0","0","1","0","1",262,270,6,281,6,293,"4",6,"0","0","1","0","1",305,6,316,6,330,"4",6,"1","0","1","0","1",342,6,351,7,1,1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3
2577,2,9,1980,202,4,"219","232",6,246,3,256,3,"0","0","1","0","0",268,280,5,292,3,304,"12",4,"0","D","1","0","1",314,2,325,4,338,"12",3,"0","0","1","0","1",350,3,362,1,1,1,1,1,1,1,3,2,2,2,2,2,1,2,2,2,1
2579,2,4,1980,206,4,"227","237",3,252,2,263,4,"1","0","0","0","0",273,285,3,297,3,308,"3",3,"1","0","0","0","0",320,3,330,3,343,"3",3,"1","0","0","0","0",355,3,367,2,0,0,0,1,1,1,2,1,2,2,2,2,2,2,2,2,1
2580,2,2,1982,184,4,"202","214",3,229,3,241,3,"1","1","1","0","0",250,261,3,275,3,286,"3",3,"1","D","1","0","0",299,2,309,2,321,"3",2,"1","0","1","0","0",332,3,345,3,0,0,0,1,1,1,2,2,2,2,2,2,1,1,1,2,2
2581,1,9,1983,162,4,"182","195",2,208,2,219,1,"1","0","0","1","0",232,242,1,256,1,266,"2",1,"1","0","0","0","0",278,1,289,1,303,"1",1,"1","0","0","0","0",313,2,326,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2582,2,7,1982,179,4,"197","208",5,225,1,236,2,"0","0","0","0","0",245,256,1,268,2,281,"1",2,"1","0","0","0","0",295,1,303,1,318,"1",1,"1","0","0","D","0",328,1,343,1,1,0,0,1,1,NA,2,1,1,1,1,1,1,1,1,1,1
2583,2,11,1982,176,4,"196","204",2,219,2,230,2,"1","0","0","0","0",242,253,1,267,2,276,"3",1,"1","0","0","1","0",289,2,300,1,312,"27",2,"1","0","0","1","0",323,1,337,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
2584,1,11,1983,164,4,"181","192",1,209,1,220,1,"1","0","0","0","0",230,241,1,253,1,266,"4",1,"1","0","0","0","0",278,1,288,1,301,"4",1,"1","0","0","0","0",312,1,324,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2585,1,7,1980,212,4,"225","236",6,249,6,257,6,"0","R","1","0","1",269,280,6,292,6,304,"13",6,"1","0","0","1","0",316,6,327,5,341,"24",6,"1","0","1","D","0",351,3,364,4,1,0,0,1,0,NA,3,3,3,3,3,3,3,2,3,2,2
2590,2,10,1981,185,4,"205","220",1,231,1,243,1,"1","0","0","1","0",254,265,1,277,1,290,"27",1,"1","0","0","D","0",303,1,313,1,326,"27",1,"1","D","D","0","D",336,1,349,2,0,0,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,1
2592,2,2,1981,195,4,"214","225",5,239,4,249,5,"0","0","1","0","0",262,274,4,285,4,298,"1",5,"0","0","0","0","0",309,5,321,4,334,"1",5,"1","0","1","0","0",345,4,358,3,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
2595,1,5,1980,205,4,"226","235",1,251,1,262,1,"1","0","1","0","0",271,283,1,295,1,307,"27",1,"1","0","0","0","0",319,1,329,1,343,"27",1,"1","0","1","0","0",353,1,366,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2596,1,7,1980,204,4,"225","234",2,246,3,259,3,"0","0","1","0","1",269,281,3,295,5,305,"4",4,"1","0","1","0","0",316,3,327,3,340,"4",3,"1","0","1","0","0",351,2,364,2,1,0,0,1,1,1,1,2,2,2,2,2,2,2,2,1,1
2599,2,1,1981,199,4,"217","229",3,241,4,252,4,"0","0","1","0","0",264,277,2,287,2,299,"12",3,"0","0","1","0","0",310,2,321,4,333,"12",4,"0","0","1","0","0",345,3,358,3,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2
2600,2,8,1982,180,4,"198","209",3,222,2,233,7,"0","1","1","0","0",245,258,3,268,3,280,"27",3,"0","0","1","0","1",291,2,304,2,316,"7",2,"0","0","0","0","1",328,2,340,2,1,1,1,1,1,1,2,1,3,2,2,2,1,1,1,1,1
2601,2,8,1981,189,4,"207","223",3,236,3,246,3,"1","0","1","0","0",255,271,3,280,6,291,"4",5,"1","0","0","0","0",303,6,314,3,327,"4",4,"0","0","0","0","0",337,4,351,6,0,0,1,1,1,1,2,2,2,2,3,2,3,2,2,2,3
2603,1,10,1983,163,4,"181","192",1,206,1,219,1,"1","0","0","0","0",230,242,1,253,1,265,"25",1,"1","0","0","0","0",278,1,288,1,303,"27",1,"1","0","1","0","0",311,1,325,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2604,1,12,1983,162,4,"179","192",1,205,1,216,3,"1","0","1","0","0",229,241,1,252,1,263,"27",1,"1","0","0","1","0",275,1,287,2,300,"25",2,"1","0","1","0","0",310,1,329,1,0,0,0,1,0,1,1,1,2,1,1,1,1,1,1,1,1
2608,1,4,1984,157,4,"175","190",6,202,6,212,5,"0","0","0","0","0",223,235,6,247,6,259,"1",3,"0","0","1","0","0",275,2,283,2,295,"1",3,"0","0","1","0","0",306,2,319,2,1,1,1,1,1,1,3,3,2,3,3,2,1,1,2,1,1
2609,1,9,1982,178,4,"195","206",1,221,4,232,1,"0","0","1","0","0",244,255,2,267,2,278,"1",2,"1","0","1","0","0",291,2,301,1,315,"1",1,"1","0","0","1","0",324,1,337,1,1,0,0,1,1,0,1,2,1,1,1,1,1,1,1,1,1
2612,2,4,1984,157,4,"175","189",1,201,1,213,1,"0","0","0","1","1",223,235,1,248,1,263,"27",1,"1","0","0","0","0",272,1,285,1,295,"25",1,"1","0","0","D","0",306,1,320,1,1,0,0,0,1,NA,1,1,1,1,1,1,1,1,1,1,1
2615,1,2,1981,195,4,"213","227",6,238,6,251,6,"0","1","1","0","1",261,274,6,286,6,297,"12",6,"0","1","1","0","0",309,6,320,6,333,"13",4,"0","D","1","0","0",344,5,357,6,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,3
2616,1,4,1981,193,4,"211","225",4,237,4,248,5,"1","0","1","0","1",262,272,4,284,3,296,"4",3,"1","0","1","0","0",308,3,319,3,331,"5",3,"1","0","0","0","1",343,3,355,3,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
2617,2,2,1984,161,4,"178","190",3,203,4,215,4,"0","0","1","0","0",226,239,3,250,3,262,"4",2,"1","0","1","0","0",276,2,285,2,297,"4",2,"0","0","1","0","0",309,1,320,1,1,0,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1
2618,1,7,1983,166,4,"185","196",6,210,6,222,6,"1","0","0","0","0",234,244,6,257,6,269,"1",6,"0","0","0","0","0",281,6,291,4,303,"1",4,"1","0","0","1","0",315,3,328,5,0,1,0,1,1,0,3,3,3,3,3,3,3,2,2,2,2
2619,2,10,1981,187,4,"208","218",2,234,1,244,5,"1","1","1","0","0",257,267,3,280,2,289,"1",4,"1","0","0","1","0",302,4,312,2,325,"25",1,"1","0","0","0","0",338,2,352,2,0,0,0,1,0,1,1,1,2,2,1,2,2,1,1,1,1
2621,2,1,1983,174,4,"195","201",2,217,2,230,1,"1","0","0","1","0",242,252,1,264,1,275,"26",1,"1","0","0","1","0",286,1,298,1,310,"4",1,"1","0","0","1","0",321,1,333,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2622,1,3,1981,194,4,"213","226",2,237,2,250,3,"0","0","0","0","0",261,272,2,285,2,298,"1",2,"0","D","D","D","R",309,2,319,2,332,"1",2,"1","0","0","0","0",343,2,357,2,1,1,0,1,NA,1,1,1,2,1,1,1,1,1,1,1,1
2624,1,7,1981,191,4,"212","220",3,234,3,246,4,"0","1","1","0","0",257,269,3,281,3,292,"3",4,"0","0","1","0","0",305,3,315,4,327,"4",3,"0","0","0","0","0",339,3,352,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
2625,2,7,1980,204,4,"225","235",5,249,5,259,4,"1","0","0","0","0",271,281,3,294,3,306,"1",3,"1","0","0","0","0",316,3,327,3,339,"3",3,"1","0","0","1","0",351,2,363,3,0,0,0,1,1,0,2,2,2,2,2,2,2,2,2,1,2
2626,2,8,1981,191,4,"211","222",3,236,4,246,3,"0","0","1","0","0",255,268,3,280,3,291,"3",5,"0","D","1","0","0",304,3,314,3,326,"3",3,"0","D","1","0","0",338,3,351,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1
2630,1,9,1982,174,4,"195","209",6,223,6,232,6,"1","0","1","0","0",243,255,6,267,6,278,"1",6,"0","0","0","0","1",290,6,301,6,313,"1",6,"0","1","0","0","0",325,6,339,5,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2
2632,2,5,1983,170,4,"191","200",2,211,2,224,6,"0","1","1","0","1",235,247,5,259,5,270,"2",7,"0","0","1","0","1",283,6,293,3,308,"11",3,"0","D","1","1","0",317,4,330,3,1,1,1,1,1,0,1,1,3,2,2,3,3,2,2,2,2
2635,2,12,1982,176,4,"191","203",7,216,6,229,4,"0","0","1","0","0",241,252,3,264,3,277,"3",4,"1","0","1","0","0",289,6,300,5,313,"3",3,"D","0","1","0","0",322,3,335,6,1,0,NA,1,1,1,3,3,2,2,2,2,3,2,2,2,3
2640,2,3,1984,160,4,"177","189",6,201,6,216,6,"0","0","1","0","1",224,237,4,250,4,261,"1",4,"0","0","1","0","0",273,6,285,5,298,"1",6,"0","0","1","0","1",307,6,320,5,1,1,1,1,1,1,3,3,3,2,2,2,3,2,3,3,2
2643,1,2,1982,185,4,"202","212",7,226,7,238,6,"1","1","1","0","1",249,261,4,273,2,285,"12",3,"1","1","1","0","1",296,5,309,4,321,"12",2,"1","0","1","0","0",331,5,344,6,0,0,0,1,1,1,3,3,3,2,1,2,2,2,1,2,3
2645,2,4,1984,153,3,"175","187",1,200,2,214,1,"1","0","1","1","0",223,235,1,247,1,259,"11",1,"1","D","1","D","0",271,1,282,1,294,"27",1,"1","D","1","0","0",306,1,318,1,0,0,0,0,NA,1,1,1,1,1,1,1,1,1,1,1,1
2649,1,10,1984,149,4,"169","181",6,194,6,209,2,"0","1","1","0","0",218,229,5,241,6,253,"11",6,"0","1","1","0","1",264,2,276,2,288,"11",1,"1","1","0","1","0",302,1,312,2,1,1,0,1,1,0,3,3,1,2,3,3,1,1,1,1,1
2651,1,6,1983,167,4,"186","197",2,210,1,222,6,"1","0","1","0","0",233,245,2,257,2,270,"12",4,"1","0","1","0","D",282,3,293,2,307,"1",2,"1","1","1","0","0",318,4,328,4,0,0,0,1,1,1,1,1,3,1,1,2,2,1,1,2,2
2652,1,2,1983,168,4,"190","201",1,213,1,226,1,"1","0","1","1","0",237,249,1,261,2,273,"27",2,"1","0","0","1","0",285,1,296,1,308,"26",1,"1","0","0","1","0",320,1,332,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
2657,2,6,1982,176,4,"197","209",1,222,2,234,2,"1","0","1","0","1",245,256,2,269,1,281,"2",4,"1","D","1","1","1",292,5,306,6,316,"2",6,"1","0","1","1","1",327,6,340,6,0,0,0,1,0,0,1,1,1,1,1,2,2,3,3,3,3
2658,1,10,1981,186,4,"205","219",2,231,4,245,3,"1","0","1","0","0",254,266,1,279,2,291,"4",3,"1","0","1","0","0",301,3,312,2,325,"27",3,"1","0","1","0","0",336,2,351,2,0,0,0,1,1,1,1,2,2,1,1,2,2,1,2,1,1
2659,2,5,1981,191,4,"210","223",5,236,6,247,6,"0","0","1","0","1",258,271,6,283,6,295,"12",6,"0","1","1","0","1",307,6,318,6,330,"12",6,"0","1","1","0","1",342,6,353,6,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3
2662,1,4,1982,182,4,"199","212",4,225,4,236,2,"1","0","1","0","0",248,260,3,271,3,284,"7",3,"1","0","0","0","0",295,3,306,3,318,"7",3,"1","0","0","0","0",330,4,342,3,0,0,0,1,1,1,2,2,1,2,2,2,2,2,2,2,2
2664,2,5,1981,191,4,"211","223",5,236,6,248,6,"0","0","1","0","1",258,272,6,283,5,294,"1",6,"0","1","1","0","1",307,5,318,6,329,"1",6,"0","R","1","0","R",340,6,355,5,1,1,1,1,1,1,2,3,3,3,2,3,2,3,3,3,2
2665,1,11,1983,161,4,"180","193",6,206,6,218,6,"0","0","1","0","0",228,241,6,254,2,266,"1",2,"0","0","1","0","1",276,3,288,5,300,"1",4,"0","0","1","0","0",311,3,323,4,1,1,1,1,1,1,3,3,3,3,1,1,2,2,2,2,2
2666,1,5,1983,169,4,"186","199",6,212,6,227,5,"1","0","1","0","0",236,246,5,259,4,270,"12",5,"1","1","1","0","0",283,5,293,4,306,"12",3,"1","1","1","0","0",317,4,329,1,0,0,0,1,1,1,3,3,2,2,2,2,2,2,2,2,1
2668,1,9,1980,198,4,"218","233",2,243,4,258,1,"1","0","0","1","0",267,278,2,290,1,305,"2",1,"1","0","0","D","0",316,1,325,1,339,"2",1,"1","1","0","1","0",349,1,361,1,0,0,0,0,NA,0,1,2,1,1,1,1,1,1,1,1,1
2669,2,6,1981,191,4,"210","222",3,235,3,248,4,"1","0","1","0","0",258,270,3,285,3,293,"10",2,"1","D","1","0","0",305,3,317,4,328,"10",2,"1","D","D","0","0",340,4,353,2,0,0,0,1,1,1,2,2,2,2,2,1,2,2,1,2,1
2670,2,3,1983,169,4,"188","201",7,213,6,225,6,"0","0","1","0","1",236,249,6,260,6,272,"1",6,"0","0","1","0","1",285,6,296,6,309,"1",6,"1","0","1","0","1",319,6,331,6,1,1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3
2672,2,11,1980,197,4,"217","228",4,242,3,254,2,"0","0","1","0","0",265,276,2,288,2,301,"1",2,"0","0","1","0","0",313,3,323,2,335,"12",2,"0","0","1","0","1",347,2,359,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1
2673,1,9,1983,163,4,"183","194",5,208,3,220,4,"1","0","0","0","0",231,243,3,255,1,267,"R",1,"1","0","D","0","0",278,1,289,1,302,"27",2,"1","0","0","D","0",313,2,326,2,0,0,0,1,1,NA,2,2,2,2,1,1,1,1,1,1,1
2674,2,6,1982,178,4,"197","209",6,222,2,235,3,"0","1","1","0","1",246,257,6,269,2,282,"7",1,"1","0","1","0","1",293,1,304,3,316,"7",6,"1","0","1","0","1",328,5,340,5,1,0,0,1,1,1,3,1,2,3,1,1,1,2,3,2,2
2675,2,12,1984,148,4,"167","179",2,192,2,205,2,"1","0","1","0","0",217,227,2,239,2,251,"7",1,"1","0","D","1","0",263,4,274,4,286,"7",3,"1","0","0","0","0",298,3,310,3,0,0,0,1,0,1,1,1,1,1,1,1,2,2,2,2,2
2676,1,7,1984,151,4,"172","184",1,198,2,212,1,"1","0","0","1","0",222,234,1,245,1,259,"27",1,"1","0","0","0","0",270,1,280,1,291,"25",1,"1","0","0","1","0",303,1,316,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
2679,2,1,1980,207,4,"227","239",5,252,4,266,3,"0","0","1","0","0",276,287,3,299,3,312,"3",2,"0","0","1","0","0",322,3,335,4,346,"3",3,"0","D","1","0","R",357,3,369,3,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2
2681,2,7,1981,188,4,"209","221",1,232,2,245,2,"1","0","1","0","1",257,268,2,280,2,293,"12",1,"1","0","1","0","1",305,2,315,3,328,"12",2,"D","0","1","0","1",339,2,351,1,0,0,NA,1,1,1,1,1,1,1,1,1,1,2,1,1,1
2682,1,9,1983,163,1,"183","194",4,208,2,222,2,"0","1","1","0","0",231,245,3,255,3,268,"2",1,"0","0","1","0","0",279,3,291,6,303,"2",1,"0","0","1","0","0",313,2,327,1,1,1,1,1,1,1,2,1,1,2,2,1,2,3,1,1,1
2683,1,9,1983,163,1,"183","195",5,212,4,222,6,"0","1","1","0","0",231,242,2,256,1,266,"2",5,"1","0","1","0","1",278,1,290,2,302,"27",1,"1","1","1","0","0",313,1,327,1,1,0,0,1,1,1,2,2,3,1,1,2,1,1,1,1,1
2684,2,4,1982,178,4,"202","211",1,224,1,236,1,"1","0","1","0","1",247,262,1,273,1,283,"24",1,"1","0","1","0","0",296,1,307,1,319,"27",1,"1","0","1","0","0",331,1,343,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2688,1,12,1980,197,4,"216","229",6,240,6,256,5,"0","1","1","0","1",267,277,3,287,3,299,"12",2,"1","D","1","0","1",311,6,322,3,335,"12",5,"0","0","1","0","0",346,5,360,4,1,0,1,1,1,1,3,3,2,2,2,1,3,2,2,2,2
2689,1,2,1982,182,4,"202","213",2,226,2,239,2,"0","1","0","0","0",250,265,3,277,1,286,"26",2,"0","1","1","0","0",297,2,308,6,320,"1",6,"0","1","1","0","1",332,5,348,5,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,2,2
2691,2,8,1982,174,4,"196","207",1,219,1,234,1,"1","0","1","0","0",244,255,1,268,1,280,"27",1,"1","D","1","0","1",294,2,302,6,314,"5",6,"D","0","1","0","1",325,6,338,4,0,0,NA,1,1,1,1,1,1,1,1,1,1,3,3,3,2
2693,1,11,1981,185,4,"204","217",4,229,6,241,3,"0","0","0","0","0",253,264,1,279,1,290,"12",1,"1","0","0","0","0",301,1,312,1,324,"25",1,"1","0","0","1","0",334,1,347,1,1,0,0,1,1,0,2,3,2,1,1,1,1,1,1,1,1
2694,1,1,1980,205,4,"228","239",2,256,1,265,2,"1","0","1","0","0",274,289,1,299,2,311,"13",1,"0","D","1","0","0",324,1,334,1,349,"1",1,"1","D","1","D","0",358,2,371,1,0,1,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,1
2697,1,1,1980,207,4,"231","241",1,254,2,263,5,"1","0","1","0","1",275,287,3,298,1,311,"27",1,"1","0","1","0","0",323,1,334,1,347,"25",1,"1","0","0","1","0",359,1,370,1,0,0,0,1,1,0,1,1,2,2,1,1,1,1,1,1,1
2698,2,6,1981,191,4,"213","221",3,234,2,248,2,"1","0","0","1","0",258,270,2,283,1,294,"20",1,"1","0","0","D","0",306,2,318,2,333,"20",3,"1","0","0","D","0",341,2,354,2,0,0,0,0,NA,NA,2,1,1,1,1,1,1,1,2,1,1
2699,2,3,1982,182,4,"205","214",3,226,4,240,4,"1","0","1","0","0",249,260,4,272,3,284,"27",3,"1","0","0","R","0",296,1,307,1,319,"26",3,"1","0","0","1","0",330,1,344,1,0,0,0,1,NA,0,2,2,2,2,2,2,1,1,2,1,1
2700,1,10,1984,151,4,"174","183",2,195,2,206,2,"1","0","1","0","0",219,229,2,241,2,253,"1",1,"1","0","0","0","0",268,1,276,2,288,"1",5,"1","0","0","1","0",300,5,313,5,0,0,0,1,1,0,1,1,1,1,1,1,1,1,2,2,2
2701,1,1,1980,207,4,"226","238",1,250,1,264,1,"1","0","0","1","0",274,287,1,298,1,310,"27",1,"1","0","0","D","0",322,1,333,1,345,"25",1,"1","0","0","1","0",358,1,370,1,0,0,0,0,NA,0,1,1,1,1,1,1,1,1,1,1,1
2702,1,4,1983,168,4,"187","199",2,211,1,224,2,"1","1","0","1","0",236,248,2,261,2,273,"27",2,"1","1","0","0","0",285,2,296,1,306,"25",2,"1","0","0","0","0",318,2,332,6,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3
2703,1,8,1980,201,4,"220","231",6,245,3,256,4,"0","0","1","0","0",268,280,5,292,6,305,"4",5,"0","0","1","0","1",314,2,326,5,340,"4",2,"0","0","1","0","0",350,4,362,3,1,1,1,1,1,1,3,2,2,2,3,2,1,2,1,2,2
2705,2,8,1980,200,4,"219","231",6,244,6,256,6,"0","0","1","0","1",269,279,3,293,6,305,"1",6,"0","D","1","0","1",316,6,327,2,338,"1",2,"0","D","1","0","1",351,2,364,2,1,1,1,1,1,1,3,3,3,2,3,3,3,1,1,1,1
2706,1,1,1982,184,4,"202","215",1,229,1,241,1,"1","0","0","1","0",251,263,1,275,1,287,"27",1,"1","D","1","D","0",298,1,309,2,322,"12",3,"1","0","1","0","0",333,1,347,1,0,0,0,0,NA,1,1,1,1,1,1,1,1,1,2,1,1
2707,2,8,1983,165,4,"183","196",6,210,3,220,2,"1","1","1","0","0",231,244,1,256,1,267,"1",1,"0","1","1","0","0",279,1,290,1,302,"1",2,"0","1","0","0","0",313,2,326,2,0,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
2708,2,7,1984,154,4,"172","185",4,199,2,209,3,"0","0","1","0","0",220,233,2,245,1,256,"1",1,"0","0","1","0","0",268,2,280,5,291,"12",4,"0","0","1","0","0",302,6,315,4,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,3,2
2709,2,5,1981,191,4,"210","222",5,236,4,247,3,"1","0","0","0","0",259,272,3,283,2,294,"1",2,"1","0","0","0","0",307,2,317,2,329,"25",2,"1","0","0","0","0",341,2,354,2,0,0,0,1,1,1,2,2,2,2,1,1,1,1,1,1,1
2710,1,7,1983,165,4,"184","196",6,208,6,222,3,"0","0","1","0","0",233,245,3,257,3,268,"27",1,"1","0","0","D","0",279,1,291,1,303,"27",2,"1","0","0","0","0",314,1,327,1,1,0,0,1,NA,1,3,3,2,2,2,1,1,1,1,1,1
2711,1,4,1983,170,4,"188","200",1,212,1,225,2,"1","0","0","1","0",238,249,1,259,1,271,"25",2,"1","0","0","D","0",284,1,294,1,307,"25",1,"1","0","0","1","0",318,1,330,1,0,0,0,0,NA,0,1,1,1,1,1,1,1,1,1,1,1
2714,1,4,1984,156,4,"176","188",1,200,1,212,1,"1","0","0","0","0",225,236,1,248,2,260,"8",3,"1","0","0","0","0",272,1,282,2,294,"12",3,"0","0","0","0","0",308,1,320,1,0,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
2718,2,9,1983,162,1,"186","195",7,208,3,221,2,"0","1","1","1","1",232,242,3,258,3,266,"2",2,"0","1","1","0","1",278,1,290,6,302,"11",4,"0","1","1","0","1",312,2,325,2,1,1,1,0,1,1,3,2,1,2,2,1,1,3,2,1,1
2721,1,8,1982,174,1,"197","208",2,221,1,234,2,"0","0","1","0","0",243,260,2,268,1,282,"12",1,"D","D","1","D","0",295,2,302,1,314,"12",3,"0","1","1","0","0",326,1,344,2,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,2,1,1
